Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Label
"{'y': -0.005297448, 'x': 0.4904295, 'confidence': 0.021010688}","{'y': -0.007015767, 'x': 0.4109833, 'confidence': 0.016823007}","{'y': -0.018943401, 'x': 0.54826856, 'confidence': 0.022960963}","{'y': 0.003307403, 'x': 0.38054007, 'confidence': 0.04931452}","{'y': -0.0035870918, 'x': 0.5862846, 'confidence': 0.05978715}","{'y': 0.1980871, 'x': 0.24843772, 'confidence': 0.6602332}","{'y': 0.12907776, 'x': 0.6942159, 'confidence': 0.6541229}","{'y': 0.71930677, 'x': 0.26893264, 'confidence': 0.5512887}","{'y': 0.62154263, 'x': 0.7586257, 'confidence': 0.46899623}","{'y': 0.9885878, 'x': 0.25248227, 'confidence': 0.14428177}","{'y': 0.9472523, 'x': 0.8150435, 'confidence': 0.2527836}","{'y': 0.97289103, 'x': 0.39229402, 'confidence': 0.19525392}","{'y': 0.9575766, 'x': 0.6462283, 'confidence': 0.14481013}","{'y': 0.9761358, 'x': 0.38033667, 'confidence': 0.0182016}","{'y': 0.9792008, 'x': 0.80364937, 'confidence': 0.036606703}","{'y': 0.9969786, 'x': 0.2558449, 'confidence': 0.02842225}","{'y': 0.977234, 'x': 0.82006806, 'confidence': 0.03621077}",0
"{'y': -0.0045478065, 'x': 0.5423185, 'confidence': 0.030267585}","{'y': -0.012981837, 'x': 0.43231982, 'confidence': 0.013266974}","{'y': -0.013668451, 'x': 0.5711852, 'confidence': 0.03271815}","{'y': -0.004552792, 'x': 0.412724, 'confidence': 0.03225265}","{'y': 0.007912201, 'x': 0.6309149, 'confidence': 0.110578224}","{'y': 0.13255602, 'x': 0.2933093, 'confidence': 0.54315263}","{'y': 0.19371544, 'x': 0.73965853, 'confidence': 0.53854966}","{'y': 0.67970103, 'x': 0.25263488, 'confidence': 0.44278088}","{'y': 0.7015544, 'x': 0.73078734, 'confidence': 0.37659314}","{'y': 0.9439515, 'x': 0.17605853, 'confidence': 0.12876438}","{'y': 0.9630173, 'x': 0.75340885, 'confidence': 0.22856243}","{'y': 0.9645282, 'x': 0.34856164, 'confidence': 0.2754631}","{'y': 0.97959775, 'x': 0.61550105, 'confidence': 0.27740526}","{'y': 0.96713495, 'x': 0.3145609, 'confidence': 0.029390011}","{'y': 0.97733897, 'x': 0.64538723, 'confidence': 0.025368722}","{'y': 0.9624552, 'x': 0.18297903, 'confidence': 0.024355942}","{'y': 0.9831936, 'x': 0.73729247, 'confidence': 0.037073977}",0
"{'y': -0.007274426, 'x': 0.50772697, 'confidence': 0.014294042}","{'y': -0.016715977, 'x': 0.49932626, 'confidence': 0.007389148}","{'y': -0.014666874, 'x': 0.5453522, 'confidence': 0.015861684}","{'y': -0.009360883, 'x': 0.43850863, 'confidence': 0.02127756}","{'y': 0.0075165005, 'x': 0.64268684, 'confidence': 0.05535198}","{'y': 0.12326608, 'x': 0.30991134, 'confidence': 0.5901376}","{'y': 0.20952, 'x': 0.74156916, 'confidence': 0.50633717}","{'y': 0.64823943, 'x': 0.24001221, 'confidence': 0.4987444}","{'y': 0.7351012, 'x': 0.73098737, 'confidence': 0.49834406}","{'y': 0.94236106, 'x': 0.15727884, 'confidence': 0.2641103}","{'y': 0.9983261, 'x': 0.7298314, 'confidence': 0.13588917}","{'y': 0.9510966, 'x': 0.3338552, 'confidence': 0.20125444}","{'y': 0.981697, 'x': 0.59728086, 'confidence': 0.29023147}","{'y': 0.95684123, 'x': 0.2699661, 'confidence': 0.033823512}","{'y': 0.99281615, 'x': 0.6941685, 'confidence': 0.015449092}","{'y': 0.96314746, 'x': 0.15179652, 'confidence': 0.043901846}","{'y': 0.9919743, 'x': 0.7225276, 'confidence': 0.03956789}",0
"{'y': -0.0027466682, 'x': 0.5450163, 'confidence': 0.05306834}","{'y': -0.0069089057, 'x': 0.39894772, 'confidence': 0.023044338}","{'y': -0.014308915, 'x': 0.5753059, 'confidence': 0.048734605}","{'y': -0.00073655247, 'x': 0.38293198, 'confidence': 0.05429422}","{'y': 0.0049880324, 'x': 0.6323113, 'confidence': 0.14663324}","{'y': 0.16280843, 'x': 0.2778484, 'confidence': 0.63094985}","{'y': 0.17522421, 'x': 0.7218109, 'confidence': 0.7447196}","{'y': 0.6815976, 'x': 0.26116803, 'confidence': 0.39166942}","{'y': 0.6519892, 'x': 0.75096554, 'confidence': 0.5233871}","{'y': 0.98050773, 'x': 0.22407012, 'confidence': 0.12606846}","{'y': 0.9476414, 'x': 0.7792503, 'confidence': 0.3093517}","{'y': 0.98273647, 'x': 0.37873846, 'confidence': 0.34756237}","{'y': 0.9770418, 'x': 0.6415084, 'confidence': 0.28350553}","{'y': 0.9802866, 'x': 0.36965284, 'confidence': 0.027244307}","{'y': 0.9885674, 'x': 0.77989084, 'confidence': 0.014852119}","{'y': 0.9933771, 'x': 0.2268986, 'confidence': 0.031735104}","{'y': 0.9791046, 'x': 0.78235537, 'confidence': 0.0570193}",0
"{'y': -0.004597978, 'x': 0.54600525, 'confidence': 0.02713416}","{'y': -0.014142086, 'x': 0.44727752, 'confidence': 0.010598173}","{'y': -0.014135859, 'x': 0.5543139, 'confidence': 0.028449466}","{'y': -0.0065639494, 'x': 0.4028477, 'confidence': 0.024567297}","{'y': 0.006160455, 'x': 0.6467483, 'confidence': 0.08813621}","{'y': 0.13754398, 'x': 0.29303002, 'confidence': 0.56490004}","{'y': 0.18899478, 'x': 0.74380296, 'confidence': 0.5667815}","{'y': 0.6415256, 'x': 0.25557294, 'confidence': 0.4216825}","{'y': 0.6789599, 'x': 0.731324, 'confidence': 0.45480037}","{'y': 0.9542947, 'x': 0.18262374, 'confidence': 0.14012347}","{'y': 0.97115225, 'x': 0.7484007, 'confidence': 0.18151772}","{'y': 0.94372094, 'x': 0.37735692, 'confidence': 0.1257056}","{'y': 0.9264364, 'x': 0.6401533, 'confidence': 0.08153166}","{'y': 0.9680452, 'x': 0.2917153, 'confidence': 0.037906222}","{'y': 0.9737724, 'x': 0.64641863, 'confidence': 0.034346722}","{'y': 0.9782482, 'x': 0.18277837, 'confidence': 0.04182021}","{'y': 0.97849596, 'x': 0.74333924, 'confidence': 0.041134533}",0
"{'y': 0.005588315, 'x': 0.49574357, 'confidence': 0.13012536}","{'y': 0.0010052784, 'x': 0.46257585, 'confidence': 0.08588111}","{'y': -0.0087707415, 'x': 0.528207, 'confidence': 0.11928976}","{'y': 0.023970224, 'x': 0.42391616, 'confidence': 0.26820284}","{'y': 0.013606295, 'x': 0.5692934, 'confidence': 0.30334678}","{'y': 0.273742, 'x': 0.3316923, 'confidence': 0.56905603}","{'y': 0.21808891, 'x': 0.67441946, 'confidence': 0.7420436}","{'y': 0.69135475, 'x': 0.26934195, 'confidence': 0.38098684}","{'y': 0.64161783, 'x': 0.7725482, 'confidence': 0.0913525}","{'y': 0.9463326, 'x': 0.2512769, 'confidence': 0.07931274}","{'y': 0.8864971, 'x': 0.68892956, 'confidence': 0.02774641}","{'y': 0.92265886, 'x': 0.43799624, 'confidence': 0.13206276}","{'y': 0.88028866, 'x': 0.6559958, 'confidence': 0.08085079}","{'y': 0.9600948, 'x': 0.25597066, 'confidence': 0.04926714}","{'y': 0.98250085, 'x': 0.69436705, 'confidence': 0.04135885}","{'y': 0.9723751, 'x': 0.246771, 'confidence': 0.029339826}","{'y': 0.97364783, 'x': 0.5467566, 'confidence': 0.048808478}",0
"{'y': 0.0065673455, 'x': 0.4464754, 'confidence': 0.054053362}","{'y': 0.0031667233, 'x': 0.44102055, 'confidence': 0.040812153}","{'y': 0.0032583335, 'x': 0.4479253, 'confidence': 0.05771203}","{'y': 0.01589705, 'x': 0.42053756, 'confidence': 0.09438871}","{'y': 0.015926084, 'x': 0.4532533, 'confidence': 0.10254199}","{'y': 0.22016929, 'x': 0.39948285, 'confidence': 0.11116076}","{'y': 0.1630063, 'x': 0.6496985, 'confidence': 0.32163557}","{'y': 0.7643127, 'x': 0.3334773, 'confidence': 0.08162292}","{'y': 0.5780498, 'x': 0.72515184, 'confidence': 0.12633158}","{'y': 0.9233608, 'x': 0.46164986, 'confidence': 0.046538346}","{'y': 0.877209, 'x': 0.56884927, 'confidence': 0.04715091}","{'y': 0.87689906, 'x': 0.57010573, 'confidence': 0.09102165}","{'y': 0.8767074, 'x': 0.5914342, 'confidence': 0.08582437}","{'y': 0.97607934, 'x': 0.44470787, 'confidence': 0.056497365}","{'y': 0.9804928, 'x': 0.570774, 'confidence': 0.054986376}","{'y': 0.97629523, 'x': 0.4560115, 'confidence': 0.04497316}","{'y': 0.9717578, 'x': 0.5562169, 'confidence': 0.065071836}",0
"{'y': 0.02089451, 'x': 0.44674888, 'confidence': 0.20416616}","{'y': 0.0127015095, 'x': 0.44746688, 'confidence': 0.18906091}","{'y': 0.025171004, 'x': 0.43443757, 'confidence': 0.1515447}","{'y': 0.026338985, 'x': 0.4775913, 'confidence': 0.2702794}","{'y': 0.034707494, 'x': 0.43033427, 'confidence': 0.3448293}","{'y': 0.13951269, 'x': 0.6308504, 'confidence': 0.53325033}","{'y': 0.2148909, 'x': 0.39741004, 'confidence': 0.15596192}","{'y': 0.49653754, 'x': 0.6610203, 'confidence': 0.12051693}","{'y': 0.54059666, 'x': 0.37380198, 'confidence': 0.11324888}","{'y': 0.6856555, 'x': 0.5997605, 'confidence': 0.091423675}","{'y': 0.7265602, 'x': 0.41060352, 'confidence': 0.06445955}","{'y': 0.66834354, 'x': 0.6066943, 'confidence': 0.09878111}","{'y': 0.6644541, 'x': 0.43695572, 'confidence': 0.10070419}","{'y': 0.8986374, 'x': 0.5580215, 'confidence': 0.14921725}","{'y': 0.8872557, 'x': 0.45191792, 'confidence': 0.18003629}","{'y': 0.9664112, 'x': 0.47670606, 'confidence': 0.0574791}","{'y': 0.9714925, 'x': 0.4429889, 'confidence': 0.06844023}",0
"{'y': 0.008665596, 'x': 0.45014885, 'confidence': 0.06366187}","{'y': 0.0038616494, 'x': 0.44738188, 'confidence': 0.056716617}","{'y': 0.0043896986, 'x': 0.44627842, 'confidence': 0.07087742}","{'y': 0.014856657, 'x': 0.4594875, 'confidence': 0.11742464}","{'y': 0.017396098, 'x': 0.4169355, 'confidence': 0.10206865}","{'y': 0.17861274, 'x': 0.58909136, 'confidence': 0.22535378}","{'y': 0.25004232, 'x': 0.42254183, 'confidence': 0.16764583}","{'y': 0.57439667, 'x': 0.7065841, 'confidence': 0.15117712}","{'y': 0.75775117, 'x': 0.27767113, 'confidence': 0.25137335}","{'y': 0.9280752, 'x': 0.5736877, 'confidence': 0.07190307}","{'y': 0.96571535, 'x': 0.4495575, 'confidence': 0.06857176}","{'y': 0.8747733, 'x': 0.62367266, 'confidence': 0.11698566}","{'y': 0.87972295, 'x': 0.49005538, 'confidence': 0.11070129}","{'y': 0.96586245, 'x': 0.55057716, 'confidence': 0.10002807}","{'y': 0.9633611, 'x': 0.48425266, 'confidence': 0.07486515}","{'y': 0.9809157, 'x': 0.4558215, 'confidence': 0.049172357}","{'y': 0.98043096, 'x': 0.49553147, 'confidence': 0.06423411}",0
"{'y': 0.0024008134, 'x': 0.49806076, 'confidence': 0.08272558}","{'y': -0.0027042315, 'x': 0.4717407, 'confidence': 0.065940745}","{'y': -0.008523373, 'x': 0.5331905, 'confidence': 0.09957132}","{'y': 0.016840253, 'x': 0.4376875, 'confidence': 0.19978222}","{'y': 0.017206406, 'x': 0.5991274, 'confidence': 0.19077064}","{'y': 0.26367742, 'x': 0.33677936, 'confidence': 0.5852789}","{'y': 0.24356388, 'x': 0.6884983, 'confidence': 0.57650286}","{'y': 0.65081924, 'x': 0.2724201, 'confidence': 0.313677}","{'y': 0.61718935, 'x': 0.7996002, 'confidence': 0.10460369}","{'y': 0.8443945, 'x': 0.2938133, 'confidence': 0.04379216}","{'y': 0.79766136, 'x': 0.67777884, 'confidence': 0.031854603}","{'y': 0.8739105, 'x': 0.4398902, 'confidence': 0.10727843}","{'y': 0.8510177, 'x': 0.66955775, 'confidence': 0.1055077}","{'y': 0.92952704, 'x': 0.26050693, 'confidence': 0.030465854}","{'y': 0.88058805, 'x': 0.6925841, 'confidence': 0.0496898}","{'y': 0.97443557, 'x': 0.2310937, 'confidence': 0.03751512}","{'y': 0.9889421, 'x': 0.6127499, 'confidence': 0.03653483}",0
"{'y': 0.013091122, 'x': 0.4309496, 'confidence': 0.110074125}","{'y': 0.01004478, 'x': 0.39939198, 'confidence': 0.11943431}","{'y': 0.010108039, 'x': 0.47938922, 'confidence': 0.068134345}","{'y': 0.022698792, 'x': 0.39388937, 'confidence': 0.30533624}","{'y': 0.023475032, 'x': 0.53444666, 'confidence': 0.20768775}","{'y': 0.23897226, 'x': 0.3314441, 'confidence': 0.6902995}","{'y': 0.16658312, 'x': 0.6702201, 'confidence': 0.33908418}","{'y': 0.4937885, 'x': 0.39306337, 'confidence': 0.11236081}","{'y': 0.529523, 'x': 0.65934926, 'confidence': 0.094039015}","{'y': 0.39444578, 'x': 0.542218, 'confidence': 0.019426037}","{'y': 0.32043618, 'x': 0.57519156, 'confidence': 0.024382744}","{'y': 0.9253489, 'x': 0.3649845, 'confidence': 0.26927263}","{'y': 0.9392016, 'x': 0.6008741, 'confidence': 0.32631555}","{'y': 0.9651979, 'x': 0.26185572, 'confidence': 0.090205334}","{'y': 0.97040915, 'x': 0.6062799, 'confidence': 0.09280479}","{'y': 0.9722482, 'x': 0.27190405, 'confidence': 0.04049649}","{'y': 0.9791041, 'x': 0.60788536, 'confidence': 0.08759415}",0
"{'y': 0.12573372, 'x': 0.5777533, 'confidence': 0.05909822}","{'y': 0.05221616, 'x': 0.58371574, 'confidence': 0.049966272}","{'y': 0.056081314, 'x': 0.5759422, 'confidence': 0.04804143}","{'y': 0.05495011, 'x': 0.6209478, 'confidence': 0.06792659}","{'y': 0.06080782, 'x': 0.57139707, 'confidence': 0.061065957}","{'y': 0.21389763, 'x': 0.55840474, 'confidence': 0.07393864}","{'y': 0.30706677, 'x': 0.7273006, 'confidence': 0.25912133}","{'y': 0.33262363, 'x': 0.4638765, 'confidence': 0.050217748}","{'y': 0.39990446, 'x': 0.6319653, 'confidence': 0.057417985}","{'y': 0.26887575, 'x': 0.43153965, 'confidence': 0.048154008}","{'y': 0.33309048, 'x': 0.62034416, 'confidence': 0.040015433}","{'y': 0.80590713, 'x': 0.49628565, 'confidence': 0.074022084}","{'y': 0.8114138, 'x': 0.5528021, 'confidence': 0.057254523}","{'y': 0.8003977, 'x': 0.37985855, 'confidence': 0.10798357}","{'y': 0.80417305, 'x': 0.5553523, 'confidence': 0.12697525}","{'y': 0.907329, 'x': 0.33611003, 'confidence': 0.1317817}","{'y': 0.9351155, 'x': 0.5874118, 'confidence': 0.10982112}",0
